unit,ingredient_id,category,grams,note
g,,,1,base unit
kg,,,1000,base unit
ml,,,1,assumes water density unless ingredient density known
l,,,1000,assumes water density unless ingredient density known
tbsp,,,15,generic volume fallback
tsp,,,5,generic volume fallback
cup,,,240,generic volume fallback
katori,,,150,standard Indian serving bowl 150 ml
glass,,,250,
piece,,,50,weak fallback - flag low confidence
medium,,,100,weak fallback - flag low confidence
tbsp,,fat,14,
tsp,,fat,4.7,
cup,,fat,218,
tbsp,,spice,6,
tsp,,spice,2.5,
tbsp,salt,,18,
tsp,salt,,6,
pinch,salt,,0.4,
pinch,,spice,0.3,
tsp,turmeric_powder,,3,
tsp,chilli_powder,,2.7,
tsp,coriander_powder,,3,
tsp,cumin_seeds,,5.8,
tsp,garam_masala,,2.5,
tsp,black_pepper,,2.3,
tsp,mustard_seeds,,5.5,
tsp,asafoetida,,1.5,
cup,rice_white_raw,,185,
cup,rice_brown_raw,,185,
cup,rice_white_cooked,,158,
katori,rice_white_cooked,,150,
cup,atta,,120,
cup,maida,,125,
cup,besan,,92,
cup,suji,,167,
cup,oats,,90,
cup,poha,,70,
cup,toor_dal,,200,
cup,moong_dal,,200,
cup,masoor_dal,,192,
cup,chana_dal,,200,
cup,urad_dal,,200,
cup,rajma,,184,
cup,kabuli_chana,,200,
katori,toor_dal,,155,
cup,milk_whole,,245,
cup,milk_toned,,245,
cup,curd,,245,
cup,greek_yogurt,,245,
cup,coconut_milk,,240,
cup,water,,240,
cup,sugar,,200,
tbsp,sugar,,12.5,
tsp,sugar,,4.2,
tbsp,honey,,21,
tbsp,jaggery,,15,
cup,onion,,160,chopped
cup,tomato,,180,chopped
cup,green_peas,,145,
cup,spinach,,30,loosely packed leaves
cup,coriander_leaves,,16,
cup,coconut_fresh,,80,grated
cup,peanuts,,146,
cup,almonds,,143,
cup,cashew,,137,
medium,onion,,110,
small,onion,,70,
large,onion,,150,
medium,tomato,,90,
small,tomato,,60,
large,tomato,,140,
medium,potato,,150,
small,potato,,90,
large,potato,,250,
medium,capsicum,,120,
medium,brinjal,,250,
medium,carrot,,60,
medium,banana,,120,
medium,apple,,180,
medium,mango,,200,
medium,egg,,50,
large,egg,,60,
piece,egg,,50,
clove,garlic,,3,
inch,ginger,,6,
piece,green_chilli,,5,
bunch,spinach,,250,
bunch,coriander_leaves,,60,
sprig,curry_leaves,,1.5,
